name	taxRank	genomeSize	numReads	numUniqueReads	abundance
Frankia sp. EAN1pec	species	8982042	3	2	0
Streptomyces noursei ATCC 11455	leaf	9815884	3	1	0
Synechococcus sp. JA-2-3B'a(2-13)	species	3046682	3	2	0
Frankia alni ACN14a	leaf	7497934	3	3	0
Choristoneura occidentalis granulovirus	species	104710	3	1	0
Staphylococcus carnosus subsp. carnosus TM300	leaf	2566424	3	3	0
Streptomyces griseus subsp. griseus NBRC 13350	leaf	8545929	3	1	0
Streptomyces lividans TK24	leaf	8345283	3	2	0
Zymomonas mobilis subsp. pomaceae ATCC 29192	leaf	2061413	3	3	0
Sideroxydans lithotrophicus ES-1	leaf	3003656	3	3	0
Micromonospora aurantiaca ATCC 27029	leaf	7025559	3	0	0
Thermus thermophilus SG0.5JP17-16	leaf	2303227	3	2	0
Prevotella denticola F0289	leaf	2937589	3	1	0
Hydrogenophaga sp. PBC	species	5232477	3	2	0
Papio hamadryas papillomavirus type 1	species	8008	3	3	0
Streptomyces cattleya NRRL 8057 = DSM 46488	leaf	16188068	3	1	0
Corynebacterium halotolerans YIM 70093 = DSM 44683	leaf	3222008	3	0	0
Phycisphaera mikurensis NBRC 102666	leaf	3884382	3	1	0
Corallococcus coralloides DSM 2259	leaf	10080619	3	3	0
Streptomyces globisporus C-1027	leaf	7783599	3	1	0
Human papillomavirus type 154	species	7286	3	1	0
Herbaspirillum hiltneri N3	leaf	4965474	3	1	0
Myxococcus stipitatus DSM 14675	leaf	10350586	3	3	0
Corynebacterium casei LMG S-19264	leaf	3132213	3	3	0
Treponema pedis str. T A4	leaf	2889325	3	3	0
Paracoccus aminophilus JCM 7686	leaf	4873118	3	0	0
Pseudomonas mosselii SJ10	leaf	6247860	3	0	0
Burkholderia sp. 2002721687	species	7285824	3	1	0
Bosea vaviloviae	species	6713548	3	1	0
Sphingomonas taxi	species	4061902	3	2	0
Pseudomonas sp. MRSN12121	species	6986763	3	1	0
Pseudonocardia sp. HH130629-09	species	6300975	3	2	0
Massilia sp. NR 4-1	species	6361416	3	2	0
Limnohabitans sp. 63ED37-2	species	3372992	3	1	0
Deinococcus actinosclerus	species	3264334	3	2	0
Paucibacter sp. KCTC 42545	species	5169161	3	1	0
Variovorax sp. PAMC 28711	species	4316152	3	0	0
Acidovorax sp. RAC01	species	4574859	3	0	0
Bosea sp. RAC05	species	5620120	3	0	0
Porphyrobacter sp. LM 6	species	2979257	3	3	0
Helicobacter pylori	species	1704012	2	0	0
Pseudomonas aeruginosa	species	6506218	2	0	0
Pseudomonas putida	species	6146834	2	1	0
Xanthomonas	genus	12262561	2	0	0
Acetobacteraceae	family	3448638	2	0	0
Bordetella pertussis	species	4098210	2	1	0
Morganella morganii	species	3799539	2	0	0
Vibrio harveyi	species	11920371	2	0	0
